country,iso code,observations,inflation,moneygrowth,gdpgrowth
Albania,ALB,21,0.05453,0.12879,0.04829
Algeria,DZA,51,0.10913,0.1637,0.03896
Angola,AGO,20,0.88679,1.08457,0.08592
Antigua and Barbuda,ATG,38,0.04052,0.09903,0.03673
Argentina,ARG,54,0.74972,0.7917,0.02468
Armenia,ARM,23,0.4668,0.4897,0.05726
Aruba,ABW,16,0.03383,0.08693,0.0088
Australia,AUS,54,0.05173,0.10383,0.03527
Austria,AUT,16,0.01757,0.0801,0.01543
Azerbaijan,AZE,23,0.45091,0.52949,0.05724
"Bahamas, The",BHS,46,0.04961,0.07125,0.0187
Bahrain,BHR,35,0.03033,0.08516,0.04103
Bangladesh,BGD,41,0.08071,0.13884,0.04601
Barbados,BRB,44,0.06256,0.11098,0.02508
Belarus,BLR,21,0.62519,0.65668,0.05171
Belgium,BEL,16,0.01763,0.0674,0.01554
Belize,BLZ,39,0.02281,0.11457,0.0513
Benin,BEN,53,0.04924,0.10951,0.03756
Bhutan,BTN,32,0.06927,0.19408,0.07331
Bolivia,BOL,54,0.34344,0.43128,0.03074
Bosnia and Herzegovina,BIH,18,0.04289,0.20878,0.04473
Botswana,BWA,39,0.09578,0.1623,0.07182
Brazil,BRA,54,0.88891,0.92023,0.04208
Brunei Darussalam,BRN,16,0.05885,0.03078,0.011
Bulgaria,BGR,24,0.29591,0.36364,0.02028
Burkina Faso,BFA,53,0.03938,0.10722,0.04278
Burundi,BDI,51,0.09531,0.13716,0.02744
Cabo Verde,CPV,35,0.03225,0.10151,0.06739
Cambodia,KHM,22,0.05982,0.22427,0.05239
Cameroon,CMR,54,0.05493,0.09881,0.03546
Canada,CAN,48,0.04551,0.10006,0.03458
Central African Republic,CAF,54,0.05752,0.08272,0.00688
Chad,TCD,54,0.05044,0.10273,0.035
Chile,CHL,54,0.32887,0.40657,0.04089
China,CHN,38,0.05085,0.18873,0.09784
Colombia,COL,25,0.18057,0.21606,0.04727
Comoros,COM,33,0.0392,0.08047,0.0218
"Congo, Dem. Rep.",COD,33,1.27705,1.22443,-0.00239
"Congo, Rep.",COG,54,0.05938,0.11122,0.04202
Costa Rica,CRI,54,0.13476,0.20086,0.04705
Cote d'Ivoire,CIV,53,0.05587,0.10001,0.03677
Croatia,HRV,20,0.03534,0.13762,0.0202
Cyprus,CYP,40,0.04977,0.14781,0.04715
Czech Republic,CZE,22,0.03745,0.11808,0.02511
Denmark,DNK,54,0.04906,0.0873,0.02259
Djibouti,DJI,25,0.00035,0.0794,0.01683
Dominica,DMA,38,0.04591,0.08986,0.02757
Dominican Republic,DOM,54,0.11298,0.15757,0.05258
Ecuador,ECU,54,0.05049,0.09351,0.04082
"Egypt, Arab Rep.",EGY,50,0.09608,0.14539,0.04845
El Salvador,SLV,50,0.04699,0.07271,0.02057
Equatorial Guinea,GNQ,30,0.05355,0.19264,0.16548
Eritrea,ERI,19,0.13371,0.20164,-0.01612
Estonia,EST,20,0.06412,0.21107,0.04196
Ethiopia,ETH,28,0.06556,0.13217,0.04115
Fiji,FJI,54,0.05626,0.106,0.03086
Finland,FIN,16,0.01758,0.06978,0.0148
France,FRA,16,0.0156,0.07038,0.01316
Gabon,GAB,54,0.06677,0.1067,0.03771
"Gambia, The",GMB,49,0.09401,0.14951,0.03767
Georgia,GEO,20,0.07559,0.21155,0.05956
Germany,DEU,16,0.0112,0.07852,0.01233
Ghana,GHA,54,0.25867,0.31161,0.03495
Greece,GRC,14,0.01736,0.01533,-0.00487
Grenada,GRD,38,0.03828,0.08594,0.03172
Guatemala,GTM,54,0.0791,0.136,0.03865
Guinea-Bissau,GNB,29,0.23627,0.30128,0.02192
Guyana,GUY,54,0.13247,0.1708,0.01913
Haiti,HTI,19,0.11026,0.16683,0.01371
Honduras,HND,54,0.08432,0.13723,0.03995
"Hong Kong SAR, China",HKG,24,0.01452,0.10295,0.03778
Hungary,HUN,24,0.09622,0.13269,0.01829
Iceland,ISL,54,0.1614,0.21634,0.03779
India,IND,54,0.0745,0.13279,0.05243
Indonesia,IDN,46,0.13831,0.21582,0.05564
"Iran, Islamic Rep.",IRN,23,0.12045,0.23362,0.05623
Ireland,IRL,16,0.01467,0.13223,0.03552
Israel,ISR,54,0.24964,0.32656,0.04966
Italy,ITA,16,0.01997,0.05295,0.00189
Jamaica,JAM,49,0.15438,0.19329,0.01455
Japan,JPN,54,0.02661,0.09932,0.03634
Jordan,JOR,40,0.05032,0.09976,0.05672
Kazakhstan,KAZ,22,0.34931,0.35216,0.04455
Kenya,KEN,49,0.09479,0.14979,0.04536
"Korea, Rep.",KOR,54,0.09093,0.20092,0.07615
Kosovo,KSV,14,0.01659,0.09355,0.03622
Kuwait,KWT,23,0.04327,0.10492,0.0532
Kyrgyz Republic,KGZ,20,0.13083,0.19002,0.04715
Lao PDR,LAO,22,0.18697,0.3014,0.06651
Latvia,LVA,22,0.04969,0.17347,0.05971
Lebanon,LBN,27,0.12215,0.15806,0.0383
Lesotho,LSO,35,0.09486,0.1394,0.04065
Liberia,LBR,16,0.05919,0.11723,-0.02524
Libya,LBY,16,0.08706,0.15902,-0.00722
Lithuania,LTU,22,0.0652,0.16272,0.05078
Luxembourg,LUX,15,0.02849,0.10914,0.02749
"Macao SAR, China",MAC,31,0.05589,0.14931,0.07321
"Macedonia, FYR",MKD,22,0.08404,0.15467,0.02377
Madagascar,MDG,53,0.11439,0.13583,0.01801
Malawi,MWI,50,0.16853,0.21521,0.04226
Malaysia,MYS,54,0.03791,0.11444,0.06375
Maldives,MDV,20,0.07936,0.18512,0.05643
Mali,MLI,48,0.06219,0.10626,0.03943
Malta,MLT,45,0.03099,0.14154,0.05142
Mauritania,MRT,30,0.07477,0.13032,0.03436
Mauritius,MUS,39,0.07435,0.13099,0.04558
Mexico,MEX,54,0.19521,0.25383,0.03942
"Micronesia, Fed. Sts.",FSM,20,0.02098,0.04488,-0.00187
Moldova,MDA,24,0.40067,0.42667,-0.00703
Mongolia,MNG,24,0.28196,0.30363,0.05256
Montenegro,MNE,13,0.04972,0.18591,0.02965
Morocco,MAR,49,0.04134,0.11245,0.04703
Mozambique,MOZ,26,0.17134,0.28193,0.07371
Myanmar,MMR,53,0.12744,0.18377,0.05736
Namibia,NAM,25,0.08305,0.18582,0.04412
Nepal,NPL,54,0.08327,0.14903,0.03736
Netherlands,NLD,16,0.01882,0.07045,0.01269
New Zealand,NZL,41,0.06688,0.09819,0.02399
Nicaragua,NIC,54,0.62762,0.67775,0.02522
Niger,NER,53,0.04545,0.10513,0.02197
Nigeria,NGA,54,0.16751,0.21462,0.03925
Norway,NOR,46,0.0555,0.11214,0.03522
Oman,OMN,43,0.07874,0.14363,0.05419
Pakistan,PAK,54,0.08899,0.146,0.05136
Panama,PAN,40,0.03123,0.08796,0.04786
Papua New Guinea,PNG,42,0.07334,0.12713,0.03035
Paraguay,PRY,54,0.11496,0.18785,0.0477
Peru,PER,54,0.4831,0.54905,0.0351
Philippines,PHL,54,0.09093,0.14302,0.04128
Poland,POL,25,0.10757,0.18945,0.03648
Portugal,PRT,16,0.02159,0.03328,0.00326
Qatar,QAT,21,0.02958,0.20212,0.11814
Romania,ROU,34,0.26964,0.31659,0.02432
Russian Federation,RUS,22,0.30856,0.36246,0.02349
Rwanda,RWA,42,0.09833,0.12863,0.03865
Samoa,WSM,33,0.0604,0.09815,0.02112
Sao Tome and Principe,STP,15,0.04184,0.27255,0.05094
Saudi Arabia,SAU,47,0.0645,0.14559,0.0476
Senegal,SEN,53,0.04236,0.082,0.02778
Serbia,SRB,18,0.1858,0.2988,0.02457
Seychelles,SYC,44,0.07909,0.14968,0.03992
Sierra Leone,SLE,54,0.2105,0.25295,0.02892
Singapore,SGP,52,0.02486,0.10842,0.07511
Slovak Republic,SVK,22,0.04054,0.10798,0.04155
Slovenia,SVN,20,0.0433,0.2057,0.02497
Solomon Islands,SLB,25,0.07271,0.16753,0.03133
South Africa,ZAF,50,0.10297,0.1346,0.02794
Spain,ESP,16,0.02222,0.09074,0.0153
Sri Lanka,LKA,54,0.09498,0.12356,0.04848
St. Kitts and Nevis,KNA,36,0.03723,0.15108,0.04074
St. Lucia,LCA,38,0.04225,0.09787,0.03706
St. Vincent and the Grenadines,VCT,40,0.04774,0.09898,0.03875
Sudan,SDN,54,0.25198,0.29962,0.03858
Suriname,SUR,40,0.26789,0.30096,0.01483
Swaziland,SWZ,41,0.09483,0.14823,0.05006
Sweden,SWE,29,0.07445,0.10985,0.0289
Switzerland,CHE,35,0.01754,0.06243,0.0175
Syrian Arab Republic,SYR,47,0.09031,0.15902,0.05387
Tajikistan,TJK,17,0.17741,0.32807,0.07667
Tanzania,TZA,27,0.15503,0.21805,0.05174
Thailand,THA,54,0.04215,0.09836,0.06113
Timor-Leste,TLS,13,0.09762,0.20221,0.08254
Togo,TGO,53,0.04798,0.10174,0.03499
Tonga,TON,26,0.05618,0.10019,0.01724
Trinidad and Tobago,TTO,54,0.07083,0.12077,0.02931
Tunisia,TUN,50,0.05889,0.11193,0.04681
Turkey,TUR,54,0.31979,0.38128,0.04737
Uganda,UGA,33,0.27816,0.38178,0.05856
Ukraine,UKR,23,0.61867,0.58537,-0.0107
